file,n,m,scc_count,scc_sizes,cond_nodes,cond_edges,cond_topo_len,pushes,pops,is_dag_file,source,sp_dist_last,sp_path_last,lp_target,lp_len,lp_path,relax_sp,relax_lp,time_sp_ns,time_longest_ns
large_cyclic.json,35,50,33,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",33,47,33,33,33,false,,,[],,,[],,,,
large_dag.json,30,40,30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,40,30,30,30,true,1,INF,[],1,0,[1],0,0,28800,26900
large_multi_scc.json,40,60,25,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 9, 1, 1, 1]",25,30,25,25,25,false,,,[],,,[],,,,
medium_cyclic.json,15,25,8,"[1, 1, 1, 6, 1, 3, 1, 1]",8,9,8,8,8,false,,,[],,,[],,,,
medium_dag.json,15,20,15,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",15,20,15,15,15,true,1,INF,[],10,1,"[1, 10]",1,1,10100,5700
medium_multi_scc.json,18,30,6,"[1, 1, 1, 1, 13, 1]",6,3,6,6,6,false,,,[],,,[],,,,
,0,0,0,[],0,0,0,0,0,false,,,[],,,[],,,,
small_cyclic.json,6,10,3,"[1, 1, 4]",3,1,3,3,3,false,,,[],,,[],,,,
small_dag.json,6,8,6,"[1, 1, 1, 1, 1, 1]",6,8,6,6,6,true,0,6,"[0, 4, 5]",5,22,"[0, 2, 3, 4, 5]",7,7,4000,3400
small_multi_scc.json,8,12,6,"[1, 1, 3, 1, 1, 1]",6,7,6,6,6,false,,,[],,,[],,,,
